Texas-San Antonio Roadrunners             teqsas-san antonio rodranersi
Texas-Pan American Broncs                 teqsas-pan amerikan bronqsi
Tulane Green Wave                         tulein grin veivi
Tulsa Golden Hurricane                    tulsa golden hurikani
UAB Blazers                               uab bleizersi
UTEP Miners                               utep mainersi
Lamar Cardinals                           lamar kardinalsi
Texas A&amp;M-Corpus Christi Islanders    teqsas a/m-korpus qristi islandersi
Missouri State Bears                      misuri sTeiT birsi
Drake Bulldogs                            dreiq buldogsi
Northern Iowa Panthers                    norTern aiova pantersi
Bradley Braves                            bredli breivsi
Wichita State Shockers                    viCita sTeiT Sokersi
Illinois State Redbirds                   ilinois sTeiT redberdzi
Iowa Hawkeyes                             aiova houqsi
Wisconsin Badgers                         viskonsin bajersi
Kansas State Wildcats                     kanzas sTeiT vaildqetsi
Baylor Bears                              beilor birsi
Kentucky Wildcats                         kentuki vaildqetsi
Auburn Tigers                             aburn Taigersi
Memphis Tigers                            memfis Taigersi
Rice Owls                                 rais oulsi
N.C. Tar Heels                            tar helsi
Clemson Tigers                            klemson Taigersi
Oklahoma Sooners                          oklahoma sunersi
Nebraska Cornhuskers                      nebraska kornhaskersi
Oklahoma State Cowboys                    oklahoma sTeiT qauboisi
Missouri Tigers                           misuri Taigersi
Arizona Wildcats                          arizona vaildqetsi
Arizona State Sun Devils                  arizona sTeiT san devilsi
Brigham Young Cougars                     brigem iang kugarsi
UNLV Rebels                               unlv rebelsi
California Irvine Anteaters               irvini
Cal State Bakersfield Roadrunners         qol sTeiT beikersfild rodranersi
Eastern Washington Eagles                 istern vaSington iglsi
Montana Grizzlies                         montana grizlsi
Northridge Matadors                       norTriji
Cal State Fullerton Titans                qol sTeiT fulerton titansi
San Diego State Aztecs                    san diego st.
New Mexico Lobos                          niu meqsiko lobosi
Angelico Biella                           anjeliko biela
Armani Jeans Milano                       armani jins milano
Scavolini Pesaro                          skavolini pesaro
Snaidero Cucine Udine                     snaidero udine
Montepaschi Siena                         montepaski siena
Pallacanestro Cantu                       palakanestro kantu
Lottomatica Roma                          lotomatika roma
Real Madrid                               real madridi
Granada                                   granada
Barcelona                                 barselona
Barcelona B                               barselona b
Gran Canaria                              gran kanaria
NY Phantoms                               ni fantomsi
Telekom Baskets Bonn                      telekom baskets boni
DB Skyliners                              db skailainersi
Polonia Warszawa                          polonia varSava
AZS Koszalin                              koSalini
Skofja Loka                               skofia loka
BC Vienna                                 bk vena
Dukes Klosterneuburg                      duks klosternoiburgi
Kraftwerk Wels                            kraftverk velsi
Traiskirchen                              traiskirxeni
Guessing Knights                          giusing naiTsi
UBSC Graz                                 graci
Macabido Gunners Oberwart                 makabido ganers obervoti
Bakken Bears                              baken birsi
Sheffield Sharks                          Sefild Sarksi
Plymouth Raiders                          plimuT raidersi
Monferrato                                monferato
Fileni Jesi                               fileni jesi
Prima Veroli                              prima veroli
UR Venezia                                venecia
Reggio Emilia                             rejio emilia
Sassari                                   sasari
Aget Imola                                aget imola
Hawaii Warriors                           havai uoriorzi
Utah State Aggies                         iuta sTeiT ejisi
Army Black Knights                        armi bleq naiTsi
Indiana Hoosiers                          indiana husersi
Minnesota Golden Gophers                  minesota golden gofersi
Syracuse Orange                           sirakus oranji
Wagner Seahawks                           vagner sihouqsi
Sacred Heart Pioneers                     sakred harti
Vermont Catamounts                        vermont katamaontsi
New Hampshire Wildcats                    niu hemfSir vaildqatsi
Fordham Rams                              fordem remsi
Maine Black Bears                         main bleq birsi
Boston Uni. Terries                       boston iuniversiti
Dayton Flyers                             daiton flaersi
George Washington Colonials               jorj vaSington kolonelsi
Seton Hall Pirates                        seton hol piratsi
Georgetown Hoyas                          jorjTaun hoiasi
Stony Brook Seawolves                     stoni bruk sivulvsi
Hartford Hawks                            hartford houqsi
St. Louis Billikens                       st. luis bilikensi
Albany Great Danes                        albani griT deinsi
UMBC Retrievers                           umbc retraiversi
Marist Red Foxes                          marist red foqsi
Loyola-Maryland Greyhunds                 loiola-merilend
Northern Colorado Bears                   norTern kolorado birsi
Rider Broncs                              raider bronqsi
West Virginia Mountaineers                vest virjinia maunTenersi
Pittsburgh Panthers                       pitsburg panTersi
Florida Gulf Coast Eagles                 florida galf qost iglsi
Princeton Tigers                          prinston Taigersi
Santa Clara Broncos                       santa klara bronkosi
Houston Baptist Huskies                   hiuston baptist haskisi
Stetson Hatters                           stetson hatersi
North Florida Ospreyes                    norT florida osprisi
Lemvig                                    lemvigi
BK Amager                                 amageri
Ullern                                    ulerni
Barons/LMT Riga                           barons/lmt riga
Barons Riga                               barons riga
Rock Tartu                                rok tartu
Lasko                                     laSko
Slovan                                    slovani
Sentjur                                   sentiuri
Elektra                                   elektra
KK Elektra                                elektra
Orlando Magic                             orlando majiqi
Morris Hornets                            moris horneTsi
Austin Peay Governors                     austin fi governorsi
Grambling Tigers                          gambling sTeiTi
Texas Longhorns                           teqsas longhornsi
Purdue Boilermakers                       perdiu boilermeikersi
Utah Utes                                 iuta iutsi
Iowa State Cyclones                       aiova sTeiTi
Siauliai                                  Siauliai
Campbell Fighting Camels                  kempbel faiTing qemelsi
Chattanooga Mocs                          Catanuga moqsi
Coastal Carolina Chanticleers             qostal karolina Santeklersi
American Eagles                           emeriqan iglsi
NC-Asheville Bulldogs                     eSvili
Providence Friars                         providens frairsi
Temple Owls                               Templ oulsi
Binghamton Bearcats                       binghemton bearqeTsi
Cincinnati Bearcats                       cincinati bearqeTsi
Kansas Jayhawks                           kanzas jeihouqsi
Georgia Bulldogs                          jorjia buldogsi
Northwestern State Demons                 norTvestern sTeiT demonzi
Wisconsin-Green Bay Phoenix               viskonzin grin bei
Illinois-Chicago Flames                   ilinois-Cikago fleimsi
Wisconsin-Milwaukee Panthers              viskonzin-miluok panTersi
Loyola-Chicago Ramblers                   loiola Cikago
Texas A&amp;M Aggies                      teqsas a-m ejisi
Fresno State Bulldogs                     fresno sTeiT buldogsi
Maccabi Tel Aviv                          makabi tel avivi
Sisu Cph                                  sisu cph
Sisu                                      sisu
Abyhoj                                    abihoi
Wofford Terriers                          voford teriersi
NC-Greensboro Spartans                    grinsboro
Florida Atlantic Owls                     florida atlantik oulsi
Arkansas-Little Rock Trojans              arkanzas-liTl rok troiansi
LIU-Brooklyn Blackbirds                   long-ailend bruklini
Fairleigh Dickinson Knights               feirli dikinson naiTsi
Mercer Bears                              merser birsi
Kennesaw State Owls                       keneso sTeiT oulsi
Quinnipiac Bobcats                        quinipiaq bobqeTsi
Robert Morris Colonials                   robert moris koloialsi
St. Francis Terriers                      st. frensis teriersi
Siena Saints                              siena seintsi
Canisius Golden Griffins                  kanisius golden grifinsi
St. Francis Red Flash                     st. frensis red fleSi
Monmouth Hawks                            monmouT houqsi
Central Connecticut State Blue Devils     sentral konektikut sTeiT blu devilsi
The Citadel Bulldogs                      citadel buldogsi
Elon Phoenix                              elon feniqsi
Cleveland State Vikings                   klivlend sTeiT vikingsi
Detroit Titans                            detroit titansi
Youngstown State Penguins                 iangsTaun sTeiT penguinsi
Wright State Raiders                      raiT sTeiT raidersi
Louisiana Tech Bulldogs                   luiziana teC buldogsi
Middle Tennessee Blue Raiders             midl tenesi blu raidersi
Louisiana-Lafayette Ragin Cajuns          la lafaete
New Orleans Privateers                    niu orleans privatersi
Florida International Golden Panthers     florida interneSenal golden pantersi
Oakland Golden Grizzlies                  oklend golden grizlisi
North Texas Mean Green                    norT teqsas men grini
Troy Trojans                              troi troiansi
Samford Bulldogs                          semford buldogsi
Georgia Southern Eagles                   jorjia souTern iglsi
South Dakota State Jackrabbits            souT dakota sTeiT jekrebiTsi
IPFW Mastodons                            ipfv mastodonsi
Western Carolina Catamounts               vestern karolina katamoutsi
Arkansas State Red Wolves                 arkanzas sTeiT red vulvzi
Western Kentucky Hilltoppers              vestern kentuki hiltopersi
UMKC Kangaroos                            umks kangarosi
Western Illinois Leathernecks             vestern ilinois liTerneksi
Washington Huskies                        vaSington haskisi
Southeast Missouri State Redhawks         souTist misuri sTeiT redhouqsi
Jacksonville State Gamecocks              jeqsonvil sTeiT geimkoqsi
Washington State Cougars                  vaSington sTeiT kugarsi
Denver Pioneers                           denver faionirsi
South Alabama Jaguars                     souT alabama iaguarsi
Eastern Illinois Panthers                 istern ilinois pantersi
Tennessee Tech Golden Eagles              tenes teC golden iglsi
Portland State Vikings                    portlend sTeiT vikingsi
Morehead State Eagles                     morhed sTeiT iglsi
Tennessee State Tigers                    tenes sTeiT Taigersi
New Mexico State Aggies                   niu meqsiko sTeiT ejisi
San Jose State Spartans                   san xose sTeiT spartansi
Southern Utah Thunderbirds                souTern iuta Tanderberdsi
IUPUI Jaguars                             iupui iaguarsi
Arkansas Razorbacks                       arkanzas razorbeqsi
Idaho State Bengals                       aidaho sTeiT bengalsi
Weber State Wildcats                      veber sTeiT vaildqeTsi
Montana State Bobcats                     montana sTeiT bobqeTsi
Nevada Wolf Pack                          nevada volf paki
Portland Pilots                           portlend pailotsi
San Diego Torreros                        san diego torerosi
San Francisco Dons                        san francisko donsi
Pepperdine Waves                          peperdain veivzi
Loyola-Marymount Lions                    loiola merimonti
Idaho Vandals                             aidaho vandalsi
Boise State Broncos                       boise sTeiT bronqosi
Long Beach State 49ers                    long biC sTeiT 49ers
Sacramento State Hornets                  sakramento sTeiT horneTsi
Southern California Trojans               souTern kalifornia troiansi
Stanford Cardinal                         stanford kardinali
UCLA Bruins                               usla bruinsi
California Golden Bears                   kalifornia golden birsi
California Riverside Highlanders          kalifornia riversaid hailendersi
Gonzaga Bulldogs                          gonzaga buldogsi
Santa Barbara Gauchos                     santa barbara gauCosi
Pau-Orthez                                pau-orTezi
ASVEL                                     asveli
Roanne                                    roani
Entente Orleanaise                        entente orleani
TBB Trier                                 tbb trieri
EnBW Ludwigsburg                          liudvigsburgi
Worthing Thunder                          uorTing Tanderi
Gimle                                     gimle
Butler Bulldogs                           baTler buldogsi
Valparaiso Crusaders                      valparaiso kruseidersi
Columbia Lions                            kolumbia laionsi
Yale Bulldogs                             ueil buldogsi
Cornell Big Red                           qornel big redi
Brown Bears                               braun birsi
Dartmouth Big Green                       dartmauT big grini
Harvard Crimson                           harvard qrimsoni
E. Tennessee State Buccaneers             e. tenes sTeiT bukanersi
South Carolina Upstate Spartans           souT qarolina upsTeiT spartansi
