Russian Captions                          Georgian Captions
Компаньон                                 kompanioni
Литомерице                                litomerice
Шумперк                                   Sumperki
Дрезден                                   drezdeni
Юкурит                                    iukuriti
СКИФ-2                                    skif-2
Рига 96                                   riga 96
СКИФ                                      skif
Рингерике                                 ringerike
Эдинбург                                  edinburgi
Шахтер Пр.                                Saxtiori pr.
Бардейов                                  bardeiovi
Тюменские Лисицы                          tiumenskie lisici
Младость                                  mladosti
Медвещак 2                                medveSCaki 2
МОДО                                      modo
Ямальские Стерхи                          iamalskie sterxi
Битигхайм                                 bitighaimi
Равенсбург                                ravensburgi
Швеннингер                                Sveningeri
Розенхайм                                 rozenhaimi
ВСК Техника Брно                          vsk texnika brno
Гавиржов                                  gavirJovi
Табор                                     tabori
ОАЭ                                       a.g.e.
Факел                                     fakeli
ХК Горняк                                 gorniaki
УрФУ                                      urfu
ТГСПА                                     tgspa
Мельбурн Мустангс                         melburn mustangsi
Ньюкасл Норт Старс                        niukasl nort starsi
Сидней Айс Догс                           sidnei ais dogsi
Перт Тандер                               pert Tanderi
Канберра Найтс                            kanbera naiTsi
Сидней Бэарс                              sidnei bearsi
Галифакс                                  halifaqsi
Стоктон                                   stoktoni
Красные звёзды                            krasnie zvezdi
Молодая Гвардия                           molodaia gvardia
МХК Эльта                                 mxk elta
Ижевская Сталь                            iJevskaia stali
Эльта                                     elta
Динамо СПб                                dinamo spb
Локо-Юниор                                loko-iuniori
США-синие                                 aSS-lurjebi
Беркуты Кубани                            berkuti kubani
Адмирал                                   admirali
Торпедо                                   torpedo
Медвешчак Загреб                          medveSCak zagrebi
Спутник НТ                                sputniki nt
Шахтер Сол                                sol. Saxtiori
Уния Освенцим                             unia osvencimi
Горняк Уч                                 gorniaki uC
Торпедо У-К                               torpedi u-k
ВМФ-Карелия                               vmf-karelia
ХК Гомель                                 gomeli
Аделаида Эдренелин                        adelaida edrenelini
Маунтфилд ГК                              mauntfildi gk
Дуйсбург                                  duisburgi
Бьоркловен                                biorkloveni
Мельбурн Айс                              melburn aisi
Шарлоттаун                                SarlotTauni
Монктон                                   monktoni
Ариада                                    ariada
ХК Гомель-2                               gomeli-2
Беркут Кар                                berkut kari
Л.Микулаш                                 l.mikulaSi
ХК Брест                                  bresti
Номад                                     nomadi
Горняк Руд                                gorniak rudni
Молот                                     moloti
Слован Бр                                 slovan br.
Энергия Эл                                energia el.
Дубьюк                                    dubiuki
Бад-Наухайм                               bad-nauxaimi
Шеллефтео                                 Selefteo
Вайсвассер                                vaisvaseri
Кауфбойрен                                kaufboireni
ХК Мотор                                  motori
Брест Альбатрос                           brest albatrosi
Одинцово                                  odincovo
Медвешчак                                 medveSCaki
ХК Дженералз                              jeneralzi
Сан Му                                    san mu
ХК Витебск                                vitebski
Спартак-Меркурий                          spartak-merkuri
Хернинг Блю Фокс                          herning blu foqsi
Рёдовре                                   riodovre
Рунгстед                                  rungstedi
СаПКо                                     sapko
Хокки                                     hokki
ХСК                                       hsk
ЛеКи                                      leki
ХК Ростов                                 rostovi
Сёдертелье                                siodertelie
Мальмё                                    malmio
Новы Тарг                                 novi targi
Рёгле                                     riogle
Бьорклёвен                                biorklioveni
Крыница                                   krinica
Полония Бытом                             polonia bitomi
Даугавпилс                                daugavpilsi
Курбадс                                   kurbadsi
Риссерзе                                  riserze
Кримитшау                                 krimitSau
Хейлброннер                               heilbroneri
Аугсбург                                  augsburgi
Кёльн                                     kiolni
Викториавилл                              viqtoriavili
Руэн-Норанда                              ruen-noranda
Акадия-Батерст                            akadia-batercti
Кейп Бретон                               keip bretoni
Сент-Джон                                 sent-joni
Шербрук                                   Serbruki
Партизан                                  partizani
Иело Биполо                               ielo bipolo
Гельф                                     gelfi
Лондон Найтс                              london naiTsi
Оттава 67-е                               otava 67-e
Ниагара                                   niagara
Байе-Комо                                 baie-komo
Чикутим                                   Cikutimi
Ошава                                     oSava
Питерборо                                 piterboro
Плимут                                    plimuTi
Виндзор                                   vinZori
Су Сент Мари                              su sent mari
Норт Бей                                  norT bei
Монарх                                    monarxi
Динамо Р. Юниорс                          dinamo r. iuniorsi
Фиштовн                                   fiStovni
Миссиссауга Стилхэдс                      misisauga stilhedsi
Кингстон                                  kingstoni
Хартфорд                                  hartfordi
Милано Россоблю                           milano rosobliu
Випитено                                  vipiteno
Трнава                                    trnava
Дукла Сеница                              dukla senica
Детва                                     detva
Барри Колтс                               bari koltsi
Топольчаны                                topolCani
Римуски                                   rimuski
Шавиниган                                 Savinigani
Драммондвилл                              dramondvili
Бленнвилл-Бойсбрайанд                     blenvil-boisbraiandi
Валь-дор Форерз                           val-dor forerzi
Гатино                                    gatino
Квебек Ремпартс                           kvebek rempartsi
Бельвиль                                  belvili
Оуэн-Саунд                                ouen-saundi
Эри                                       eri
Китченер                                  kitCeneri
Комета                                    kometa
Сурахаммар                                suraxamari
Тирп                                      tirpi
Ангел Сибири                              angel sibiri
Прьевидза                                 prieviZa
Земгале                                   zemgale
Винницкие Гайдамаки                       vinickie gaidamaki
Кристалл-Югра                             kristal-iugra
Инсбрук                                   insbruki
Айова                                     aiova
Прешов 07                                 preSovi 07
Слезань                                   slezani
Простежов                                 prosteJovi
Блед                                      bledi
Мерано                                    merano
Форшага                                   forSaga
Транес                                    tranesi
Раубичи-96                                raubiCi-96
Ред Булл                                  red buli
ХК Могилёв                                mogiliovi
Металлург Жл-2                            metalurg Jl-2
Химик-2                                   ximik-2
Раубичи-97                                raubiCi-97
Витебск-2                                 vitebsk-2
ХК Лида 2                                 lida 2
Сённерюйск                                sioneriuiski
Сарния                                    sarnia
Неман-2                                   neman-2
Михаловце                                 mixalovce
Сборная Экстралиги                        eqstraligis nakrebi
Генералы                                  generali
Сагино                                    sagino
Утика                                     utika
Поруба                                    poruba
Конгсвингер                               kongsvingeri
Берген                                    bergeni
Торонто Марлис                            toronto marlisi
Торонто Мейпл Лифс                        toronto meipl lifsi
Кувейт                                    kuveiti
Китайский Тайбэй                          CineTis taibei
Гонконг                                   honkongi
Таиланд                                   tailandi
Дубница                                   dubnica
Гомель-2                                  gomeli-2
Варберг                                   varbergi
Тиринг                                    tiringi
Питео                                     piteo
Вита-Хастен                               vita-hasteni
Тингсрюд                                  tingsriudi
Каллинге/Роннебю                          kalinge/ronebiu
Локомотив                                 lokomotivi
Вита-Хестен                               vita-hesteni
Баник Соколов                             banik sokolovi
Кристалл Эл.                              kristal el.
Колин                                     kolini
Химик Воскресенск                         ximik voskresenski
Чикаго Блэкхокс                           Cikago bleqhoqsi
Юта Гриззлис                              iuta grizlisi
Бейкерсфилд Кондорс                       beikersfild kondorsi
Аризона Сандогз                           arizona sandogzi
Денвер Каттроатс                          denver katroatsi
Онтарио Рейн                              ontario reini
Лас-Вегас Рэнглерс                        las-vegas renglersi
Аляска Эйсез                              aliaska eisezi
Колорадо Иглс                             kolorado iglsi
Айдахо Стилхэдс                           aidaho stilhedsi
Аллен Американс                           allen amerikansi
Цинциннати Сайклонс                       cincinati saiklonsi
Форт-Уэйн Кометс                          fort-uein kometsi
Гринвилл                                  grinvili
Сборная России-1                          ruseTi-1
Сборная России-2                          ruseTi-2
Брэйв                                     breivi
Сахалинские Акулы                         saxalinskie akuli
Кристалл-2 Бердск                         kristal-2 berdski
Гавличкув-Брод                            gavliCkuv-brodi
ХК 37 Пьештьяны                           hk 37 pieStiani
Слован Усти-над-Лабем                     slovan usti-nad-labemi
Беркут Караганда                          berkut karaganda
Спутник Нижний Тагил                      sputnik niJni tagili
Маунтфилд Градец-Кралове                  mautfild gradec-kralove
ХК Сочи                                   soCi
Звезда Чебаркуль                          zvezda Cebarkuli
Горняк Рудный                             gorniak rudni
Горняк Учалы                              gorniak uCali
Литомержице                               litomerJice
Годонин                                   godonini
СКА-Карелия                               ska-karelia
Пршеров                                   prSerovi
Лада                                      lada
Спутник Альметьевск                       sputnik almetievski
Динамо Р                                  dinamo r
Драгуны                                   draguni
Варяги                                    variagi
КалПа                                     kalpa
Южный Урал–Металлург                      iuJni ural-metalurgi
Сборная клубов Беларуси                   belorusis klubebis nakrebi
Айсберен                                  aisbereni
Хайльбронн                                hailbroni
Мангейм                                   manheimi
Су-Сити                                   su-siti
Нефтяник Альметьевск                      neftianik almetievski
Динамо-Молодечно                          dinamo molodeCno
Лион                                      lioni
Ольтен                                    olteni
Спарта Прага                              sparta praRa
СайПа                                     saipa
Капфенберг                                kapfenbergi
Простеёв                                  prosteiovi
Спарта Сарпсборг                          sparta sarpsborgi
Линчёпинг                                 linCiopingi
Комета Самара                             kometa samara
Иртыш Павлодар                            irtiS pavlodari
Славия Прага                              slavia praRa
Тимро                                     timro
Бьёрклёвен                                biorklioveni
Фрайбург                                  fraiburgi
Франкфурт                                 frankfurti
Рапперсвиль                               rapersvili
Мура                                      mura
Бордо                                     bordo
Англет                                    angleti
Ницца                                     nica
Ракета Саров                              raketa sarovi
Техника Брно                              texnika brno
Славутич                                  slavutiCi
Жальгирис                                 Jalgirisi
ХК Сахалин                                saxalini
Южный Урал-Металлург                      ural metalurgi
Челны                                     Celni
ХВ71                                      xv71
Слезань Опава                             slezan opava
Фридек Мистек                             fridek misteki
КуКу                                      kuku
КеуПа                                     keupa
Кассель                                   kaseli
Мого                                      mogo
ХК Елец                                   eleci
