Russian Captions                          Georgian Captions
Кубота Спирс                              kubota spirsi
Ямаха Юбило                               iamaha iubilo
Канон Иглз                                qanon iglzi
Парраматта Ильс 2                         paramata ils 2
Панасоник Уайлд Найтс                     panasonik uaild naiTsi
Сантори Санголиат                         santori sangoliati
Сиэттл Сивулвс                            sietl sivulvsi
ЛА Гилтинис                               la giltinisi
Нола Голд                                 nola goldi
Вест Уэльс Райдерс                        vest uels raidersi
Локомотив-Пенза                           lokomotiv-penza
Динамо                                    dinamo
Уэйкфилд Тринити                          ueikfild triniti
Слава-ЦСП                                 slava-csp
Бразилия-7                                brazilia-7
Енисей-СТМ                                enisei-stm
Регби Юнайтед                             regbi iunaitedi
АТЛ                                       atl
Красный Яр                                krasni iari
НЕК Грин Рокетс                           nek grin roketsi
Мицубиси Cагамихара Дайнаборс             micubisi sagamihara dainaborsi
Уайтхэвен РЛФК                            uaiTheven rlfk
Барроу Рейдерс                            barou raidersi
ЦСКА                                      cska
Бордо-Бегль                               bordo begli
Расинг-92                                 rasing-92
Ла-Рошель                                 la roSeli
ВВА-Подмосковье 2                         vva-podmoskovie
ЦСКА 2                                    cska 2
Зимбабве                                  zimbabve
Слава-ЦСП 2                               slava-csp 2
Ямайка-7                                  iamaika-7
Малайзия-7                                malaizia-7
Френч Барбарианс-7                        frenC barbarians-7
Лу-7                                      lu-7
Стад Тулузан-7                            stad tuluzan-7
Авирон Байонне-7                          aviron baione-7
Уорринга                                  uoringa
Гордон                                    gordoni
Блэктаун                                  bleqTauni
Олдем РЛФК                                oldem rlfk
Саутерн Найтс                             sauTern naiTsi
Хериотс                                   heriotsi
Батуми                                    baTumi
Тель-Авив Хит                             Tel-aviv hiti
Нортгэмптон Сейнтс                        norThempton seinTsi
Прованс                                   provansi
Невер                                     neveri
Суайо Ангулем                             suaio angulemi
Арес                                      aresi
Локомотиви                                lokomotivi
Ямайка                                    iamaika
Казбеги                                   yazbegi
Лело Сараценс                             lelo saracensi
Арми                                      armi
Джики Гори                                jiqi gori
Кобе Стил                                 kobe stili
Кинтэцу Лайнерс                           kintecu lainersi
Сидзуока Блю Ревс                         siZuoka bliu revsi
Ураясу Рокс                               uraiasu roksi
Камаиси Сивейвс                           kamaisi siveivsi
Звезды Маори                              maori ol sTarsi
Коренные народы Австралии                 indijenos ol sTarsi
