Russian Captions                          Georgian Captions
Омар Бриджида                             o. brijida
Ван Аожань                                a. vani
Мая Раденкович                            m. radenkoviCi
Кейсуке Сайтох                            k. saitoxi
Анджела Петрович                          a. petroviCi
Федерико Арнабольди                       f. arnaboldi
Симакин И.                                i. simakini
Тара Вюрт                                 t. viurti
Мисаки Мацуда                             m. macuda
Касеми К.С.                               k. s. kasemi
Кудряшов И.                               i. kudriaSovi
Штромбакс Р.                              r. Strombaksi
Юлия Пеер                                 i. peeri
Бахмуткина П.                             p. baxmutkina
Турхан Г.                                 g. turxani
Баркова Т.                                t. barkova
Катини Н.                                 n. katini
Вальсекки П.                              p. valseki
Прадо Анхело Х.                           x. prado anxelo
Вальехо Д.                                d. valiexo
Алексей Ватутин                           a. vatutini
Карлос Лопес Монтагуд                     k. l. montagudi
Дамьен Венгер                             d. vengeri
Павел Неедлы                              p. needli
Буке Л.                                   l. buke
Марич М.                                  m. mariCi
Йович В.                                  v. ioviCi
Лютаревич И.                              i. liutareviCi
Брешиани Л.                               l. breSiani
Осера М.                                  m. osera
Цуй Цзе                                   cze cui
Куммел А.                                 a. kumeli
Долидзе Л.                                l. doliZe
Франческо Пассаро                         f. pasaro
Флавио Коболли                            f. koboli
Каспер Рууд                               k. ruudi
Жо-Вильфрид Тсонга                        X.-v. conga
Пастерк Л.                                l. pasterki
Плихал Н.                                 n. plixali
Ганц Ф.                                   f. hanci
Зырянова А.                               a. zirianova
Бранкаччо Н.                              n. brankaCo
Костюк М.                                 m. kostiuki
Маркон М.                                 m. markoni
Илена Ин-Альбон                           i. in-alboni
Катарина Герлах                           k. gerlaxi
Бхасин С.                                 s. bxasini
Родрикс П.                                p. rodriksi
Бенаисса А.                               a. benaisa
Иббу И.                                   i. ibu
Юрикова Л.                                l. iurikova
Платеникова Э.                            e. platenikova
Бэглоу Э.                                 e. beglou
Ортега Редондо П.                         p. ortega redondo
Майер Ауф Дер Хайде Л.                    l. maier auf der haide
Стевенс Л.                                l. stevensi
Джамшиди Е.                               e. jamSidi
Дивайн Нвеке                              d. nveke
Мора Клемент Р.                           r. mora klementi
Оливер Мораталья В.                       v. oliver moratalia
Бертран Р.                                r. bertrani
Мартинес М.                               m. martinesi
Бхардвадж М.                              m. bxardvaji
Сингх Дж.                                 j. singxi
Филипенко В.                              v. filipenko
Коваль В.                                 v. kovali
Маркова Й.                                i. markova
Тихонова А.                               a. tixonova
Висмане Д.                                d. vismane
Бемельманс Р.                             r. bemelmansi
Бергс З.                                  z. bergsi
Жебенс Х.                                 x. Jebensi
Матушевски П.                             p. matuSevski
Хенри Сквире                              h. skvire
Фиона Ферро                               f. fero
Джулио Цеппьери                           j. cepieri
Алекс де Минаур                           a. de minauri
Роберто Карбальес Баэна                   r. k. baena
Михаэла Бузэрнеску                        m. buzernesku
Чжан Шуай                                 Suai CJani
Настасья Шунк                             n. Sunki
Ван Цян                                   cian vani
Бркич Т.                                  t. brkiCi
Качич Н.                                  n. kaCiCi
Нис Х.                                    x. nisi
Зелинский Я.                              i. zelinski
Кабаль Х.С.                               x. s. kabali
Фара Р.                                   r. fara
Пэр Б.                                    b. peri
Рамос-Винолас А.                          a. ramos-vinolasi
Ебавы Р.                                  r. ebavi
Сабанов М.                                m. sabanovi
Лопес Ф.                                  f. lopesi
Клер Лю                                   k. liu
Фун С.                                    s. funi
Хуан Себастьян Гомес                      x. s. gomesi
Баади Т.                                  t. baadi
Александр Эни                             a. eni
Лукка Лю                                  l. liu
Осорио Х.С.                               x. s. osorio
Панта Х.                                  x. panta
Дельен Веласку М.                         m. delien velasku
Уэртас Дель Пино А.                       a. uertas del pino
Сигарран Т.                               t. sigarani
Огура К.                                  k. ogura
Паке Х.                                   x. pake
Зденек Коларж                             z. kolarJi
Пабло Карреньо Буста                      p. k. busta
Фернанда Контрерас Гомес                  f. k. gomesi
Ебавы Ж.                                  J. ebavi
Остерхаут Э.                              e. osterxauti
Сакацуме Х.                               x. sakacume
Лоб Дж.                                   j. lobi
Санчес Палау А.С.                         a. s. sanCes palau
Себов К.                                  k. sebovi
Кувата Х.                                 x. kuvata
Ма Е Синь                                 e sin ma
Имамура С.                                s. imamura
Сау Франко А. Р.                          a. r. sau franko
Синтаро Мотидзуки                         s. motiZuki
Моранде Ан-Софи                           m. an-sofi
Торрес Мурсиа М.К.                        m. k. tores mursia
Гомес Песуэла Кано М.                     m. gomes pesuela kano
Карианн Пьер-Луиc                         k. pier-luisi
Федерико Себальос                         f. sebaliosi
Власеллер К.                              k. vlaseleri
Инохоса Гомес Х.                          x. inoxosa gomesi
Роска К.                                  k. roska
Роджерс А. С.                             a. s. rojersi
Хьюитт Д.                                 d. hiuiti
Чжу Э.                                    e. CJu
Реами А.                                  a. reami
ДеФалко Дж.                               j. defalko
Хлоэ Паке                                 x. pake
Арина Соболенко                           a. sobolenko
Панна Удварди                             p. udvardi
Люка Пуйе                                 l. puie
Иржи Веселы                               i. veseli
Стив Джонсон                              s. jonsoni
Жиль Симон                                J. simoni
Лоренцо Музетти                           l. muzeti
Стефанос Циципас                          s. cicipasi
Энцо Франсес Тессари                      e. f. tesari
Хироясу Эхара                             x. exara
Зинк Т.                                   t. zinki
Лоурейро Ж.В.К.                           J. v. k. loureiro
Рибейру Э.                                e. ribeiru
Норти И.                                  i. norti
Степанов Р.                               r. stepanovi
Буйтраго Н.                               n. buitrago
Панну К.                                  k. panu
Эрнандес Ф.                               f. ernandesi
Ларреа Сикко М.                           m. larea siko
Нуньес Д.А.                               d. a. nuniesi
Карл Ли                                   karl li
Стефанос Сакелларидис                     s. sakelaridisi
Крис Спироу                               k. spirou
Сюити Секигути                            s. sekiguti
Габриеле Босио                            g. bosio
Марлон Ванкан                             m. vankani
Джонс Б.                                  b. jonsi
Фанни Норин                               f. norini
Гаркуша Е.                                e. garkuSa
Тот А. К.                                 a. k. toti
Ринко Мацуда                              r. macuda
Сандберг В.                               v. sandbergi
Билардо Ф.                                f. bilardo
Надел Н.                                  n. nadeli
Березняк Ш.                               S. berezniaki
Лансере С.                                s. lansere
Оливия Тьяндрамулия                       o. tiandramulia
Даган Фрухтман М.                         m. dagan fruxtmani
Линд Галлахер Э.                          e. lind galaheri
Виктория Морвайова                        v. morvaiova
Итамар Тапиро                             i. tapiro
Сэита Ватанабэ                            s. vatanabe
Рой Гинат                                 r. ginati
Симон Сахар                               s. saxari
Шиманов О.                                o. Simanovi
Анастасия Золотарева                      a. zolotareva
Амина Аншба                               a. anSba
Дарья Семенистая                          d. semenistaia
Тесс Суньо                                t. sunio
Айла Аксу                                 a. aksu
Полина Кудерметова                        p. kudermetova
Иоана Гаспар                              i. gaspari
Сара Микача                               s. mikaCa
Миа Марьянович                            m. marianoviCi
Даниель Ринкон                            d. rinkoni
Хотченков Е.                              e. xotCenkovi
Тома Дешам                                t. deSami
Агабигун С.                               s. agabiguni
Шин М.                                    m. Sini
Сенгул Б.                                 b. senguli
Евгений Филиппов                          e. filipovi
Ромиос М.К.                               m. k. romiosi
Даниэле Капекки                           d. kapeki
Марвин Нетушиль                           m. netuSili
Николь Палецек                            n. paleceki
Скуарчалупи Дж.                           j. skuarCalupi
Марандел Л.                               l. marandeli
Ноэлия Боусо Санотти                      n. b. sanoti
Пьянджерелли А.                           a. pianjereli
Марта Матула                              m. matula
Ганта С.К.Р.                              s. k. r. ganta
Сурешкумар М.                             m. sureSkumari
Алькала Гурри М.                          m. alkala guri
Пуйоль Наварро Б.                         b. fuiol navaro
Отин П.                                   p. otini
Шейнгезихт Л.                             l. Seingezixti
Дебора Кьеза                              d. kieza
Меттро М.                                 m. metro
Экбал И.                                  i. ekbali
Сингх Д.П.                                d. p. singhi
Лок Б.                                    b. loki
Лок К.Дж.                                 k. j. loki
Сахтали Т.                                t. saxtali
Мартин Ан.                                an. martini
Вайсборн Т.-С.                            t. s. vaisborni
Серретани Дж.                             j. seretani
Доминик Штрикер                           d. Strikeri
Осгар О'Хойсин                            o. o'xoisini
Григор Димитров                           g. dimitrovi
Борна Чорич                               b. CoriCi
Таллон Грикспор                           t. grikspori
Хауме Муньяр Клар                         x. m. klari
Кольярини А.                              a. koliarini
Оливо Р.                                  r. olivo
Комесана Ф.                               f. komesana
Дардери Л.                                l. darderi
Коллиньон Р.                              r. kolinioni
Матиаш Фуэле                              m. fuele
Орлова Н.                                 n. orlova
Серундоло Ф.                              f. serundolo
Кориа Ф.                                  f. koria
Эскобар Г.                                g. eskobari
Сэвилл Л.                                 l. sevili
Томпсон Дж.                               j. tompsoni
Лайович Д.                                d. laioviCi
Веселы И.                                 i. veseli
Дельбонис Ф.                              f. delbonisi
Куако Э.                                  e. kuako
Гинар М.                                  m. ginari
Рам Р.                                    r. rami
Солсбери Дж.                              j. solsberi
Джирон M.                                 m. jironi
Квон Сун Ву                               sun vu kvoni
Сюй Ифань                                 ifan siui
Ян Чжаосюань                              CJaosiuan iani
Касино Э.                                 e. kasino
Понше Дж.                                 j. ponSe
Дзаламидзе Н.                             n. ZalamiZe
Доулхайд К.                               k. doulxaidi
Сандерс С.                                s. sandersi
Матеас М.                                 m. mateasi
Кэрол Чжао                                q. CJao
Дюваль В.                                 v. diuvali
Химено Сакацуме                           x. sakacume
Пуиг Молина Д.                            d. puig molina
Каньяс Гарсия Х.П.                        x. p. kanias garsia
Ламас Руис П.                             p. lamas ruisi
Оскар Хосе Гутьеррес                      o. x. gutieresi
Катерина Байндл                           k. baindli
Федерика Ди Сарра                         f. di sara
Сара Эррани                               s erani
Сахдиева А.                               a. saxdieva
Щербинина А.                              a. SCerbinina
Тойос Э.                                  e. toiosi
Хамза Регуиг С.                           s. xamza reguigi
Кеннеди Шаффер                            k. Saferi
Софи Чан                                  s. Cani
Мартина Тревизан                          m. trevizani
Магда Линетт                              m. lineti
Бьянка Андрееску                          b. andreesku
Белинда Бенчич                            b. benCiCi
Диего Шварцман                            d. Svarcmani
Фабио Фоньини                             f. fonini
Ботик Ван де Зандсхулп                    b. van de zandsxupi
Карлос Алькарас                           k  alkarasi
Альберт Рамос-Виньолас                    a. ramos-viniolasi
Лусия Кортес Льорка                       l. k. liorka
Гомес К.                                  k. gomesi
Хиральди Рекена А.                        a.xiraldi rekena
Мария Вивьяни                             m. viviani
Мадрид Рокка М.С.                         m. s. madrid roka
Селс Й.                                   i. selsi
