Russian Captions                          Georgian Captions
Уникаха                                   unikaxa
Гран Канария                              gran kanaria
Алиая Генчлык                             alia genCliki
Надежда                                   nadeJda
Хомутов                                   homutovi
Союз                                      soiuzi
Нилан Бизонс                              nilan bizonsi
Тюрк Телеком                              turk telekomi
Грац                                      graci
Ст. Пёльтен                               st. piolteni
Политехника Варшава                       politexnika varSava
Трефл Сопот                               trefl sopoti
Хаджеттепе Ун.                            un. xajetepe
Клоштернойбург                            kloSternoiburgi
Айсбарен                                  aisbareni
Жирона                                    Jirona
Гранада                                   granada
Эстудиантес                               estudiantesi
Валенсия                                  valensia
Биелла                                    biela
Скаволини                                 skavolini
Ваноли Кремона                            vanoli kremona
Виртус                                    virtusi
Рома                                      roma
Казерта                                   kazerta
Бенеттон                                  benetoni
Монтегранаро                              montegranaro
Авеллино                                  avelino
Авенида                                   avenida
Ривас Экополис                            rivas ekopolisi
Трабзонспор                               trabzonspori
Динамо М                                  dinamo m
Динамо Курск                              dinamo kurski
Атаман                                    atamani
Рязань                                    riazani
Борас Баскет                              boras basketi
Икарос                                    ikarosi
Левски                                    levski
Зриньски Мостар                           zrinski mostari
Катайя                                    kataia
Гдыня                                     gdinia
УГМК                                      ugmk
Бурж                                      burJi
Монпелье                                  monpelie
Таранто                                   taranto
Госпич                                    gospiCi
Гелиос                                    heliosi
Широки брег                               Siroki bregi
Раднички Крагуевац                        radniCki kraguevaci
Вервирс Пепинстер                         vervirs pepinsteri
Антверп Джайентс                          antverp jaienTsi
Тюбенген                                  tiubengeni
Сарагоса                                  saragosa
Шленск                                    Slenski
Оман                                      omani
Полковице                                 polkovice
Сеат Дьёр                                 seat diori
Дьёр                                      diori
Хапоэль Голон                             hapoel goloni
Шинхан Сбёрдз                             Sinxan sbiordzi
Коувот                                    kouvoti
ТТУ Калев 2                               ttu kalevi 2
Пярну                                     piarnu
Сёдертелье Кингс                          siodertelie kingsi
Уппсала Баскет                            upsala basketi
Сундсвалль Дрэгонс                        sundsval dregonsi
Емтланд                                   emtlandi
По-Ортез                                  po-ortezi
Anadolu Efes                              anadolu efesi
08 Стокгольм                              08 stokholmi
Экоэребру                                 ekoerebru
Минск-2006                                minski-2006
Милан                                     milani
Гент                                      genti
Пуатье                                    puatie
Нанси                                     nansi
Страсбург                                 strasburgi
Тулон                                     tuloni
Аделаида                                  adelaida
Кайрнc                                    kairnsi
Лайф Виннус                               laif vinusi
Триумф                                    triumfi
