Russian Captions                          Georgian Captions
Эврё                                      evrio
Канне Рошвиль                             kane roSvili
Томис Констанца                           tomis konstanca
Раднички                                  radniCki
Звезда-Югры                               zvezda-iugri
Белогорье-Локомотив                       belogorie-lokomotivi
Чанкая Блд                                bld Cankaia
ТВФ Спор Лисеси                           tvf spor lisesi
Локомотив-Факел                           lokomotiv-fakeli
Мельк                                     melki
Ботев                                     botevi
Габрово                                   gabrovo
Белосток                                  belostoki
Халкбанк Анкара                           halkbank ankara
Халкбанк Анкара 2                         halkbank ankara 2
Тервиль                                   tervili
Безье                                     bezie
Славия Братислава                         slavia bratislava
Потсдам                                   potsdami
Зинсхайм                                  zinshaimi
Висбаден                                  visbadeni
Байер 04 Леверкузен                       baier 04 leverkuzeni
Цюрих Берлин                              ciurix berlini
Шверинер                                  Sverineri
Кифисиас                                  kifisiasi
Этникос                                   eTnikosi
Патрас                                    patrasi
ПАОК                                      paok
Нумансия Сория                            numansia soria
Лодзь                                     loZi
Вандевр-ле-Нанси                          vandevr-le-nansi
Истр                                      istri
Зуль                                      zuli
Кёпениккер                                kiopenikeri
Рот Рабен Фильсбибург                     rot raben filsbiburgi
Фильсбибург                               filsbiburgi
Алеманиа Аахен                            alemania aaxeni
Модена                                    modena
Скаволини                                 skavolini
Аяччо                                     aiaCo
Тулуза                                    tuluza
Лион                                      lioni
Канн                                      kani
Нарбонна                                  narbona
Нант Резе                                 nant reze
Пуатье                                    puatie
Тур                                       turi
Гвада                                     gvada
Мультикаха                                multikaha
Пеленкоглу ОФ                             of pelenkoglu
Мюнстер                                   miunsteri
Гамбург                                   hamburgi
Байя Маре                                 baia mare
Колежлилер                                koleJlileri
Арда                                      arda
Даброва Горница                           dabrova gornica
Кнак                                      knaki
Какань                                    kakani
Будучность                                buduCnosti
Аркас Спор                                arkas spori
ЦСКА София                                cska sofia
Вроцлав                                   vroclavi
Мелец                                     meleci
Анортосис                                 anortosisi
Хален                                     haleni
Лозанна                                   lozana
Нолико                                    noliko
Штутгарт                                  Stutgarti
Быдгощ                                    bidgoSCi
Трефль Сопот                              trefl sopoti
Томичка-Юпитер                            tomiCka-iupiteri
Олимп НО                                  no olimpi
Кировец Новосибирск                       kirovec novosibirski
Алтай Барнаул                             altai barnauli
Уфимочка-2-УГНТУ                          ufimoCka-2-ugntu
Уфимочка-2                                ufimoCka-2
Челябинка-Юность-Метар                    Celiabinka-iunost-metari
Анкарагюджю                               ankaragiuju
Селвер Таллин                             selver talini
Любляна                                   liubliana
Локомотив-Экспресс                        lokomotiv-eqspresi
Фаворит Лубни                             favorit lubni
Юракадемия                                iurakademia
Буревестник-ШВСМ                          burevestnik-Svsm
Памвохаикос                               pamvohaikosi
Панатинаикос                              panaTinaikosi
Кендзежин-Козле                           kenZeJin-kozle
Ренн                                      reni
Искра Самара                              iskra samara
Ираклис Салоники                          iraklis saloniki
Македонес                                 makedonesi
Нюборг Берген                             niuborg bergeni
Паниониос                                 panioniosi
Панеллиниос                               paneliniosi
АЕК                                       aek
Анатолия                                  anatolia
Посожильница-2                            posoJilnica-2
Олимпиакос                                olimpiakosi
Маркополо                                 markopolo
Ираклис Кифисиас                          iraklis kifisiasi
Эно                                       eno
Эрегли Беледийе                           eregli beledie
МуурЛе                                    murle
Сан Волей Оулу                            san volei oulu
Экспрессвэй Ко                            eqspresvei ko
Энергетик Саратов                         energetik saratovi
Атаман Ростов-на-Дону                     ataman donis rostovi
Сангму                                    sangmu
Союз Красногвардейское                    soiuz krasnogvardeiskoe
Динамо-МГТУ Майкоп                        dinamo-mgtu maikopi
Младость ХАОК                             haok mladosti
Нефельс                                   nefelsi
Дагестан Махачкала                        daRestan maxaCkala
Газпром-Ставрополь                        gazprom-stavropoli
ЛИГ                                       lig
Нефтегазунивер                            neftegazuniveri
Спартак Москва                            moskovis spartaki
Бакэу                                     bakeu
Ассе Ленник                               ase leniki
Будва                                     budva
КГК                                       kgk
Ури Дрим6                                 uri drim6
Самсунг                                   samsungi
Зоркий Красногорск                        zorki krasnogorski
Спортакадемия-ВРЗ Стерлитамак             sportakademia-vrz sterlitamaki
Динамо Набережные Челны                   dinamo nabereJnie Celni
ЮКИОР                                     iukior
УОР Оренбург                              uor orenburgi
Сарансккабель-Мордовия                    saranskabel-mordovia
Олимп Прага                               praRis olimpi
Кралово Поле                              kralovo pole
СГ Брно                                   sg brno
Славия София                              slavia sofia
Крымсода                                  krimsoda
Новатор                                   novatori
Пирин                                     pirini
Монтана                                   montana
Нефтохимик Бургас                         neftoximik burgasi
Черно Море                                Cerno more
Виктория Волей                            viqtoria volei
Врилиссия                                 vrilisia
Сокол Фрыдек-Мистек                       sokol fridek-misteki
Хара Морин                                xara morini
Кьери                                     kieri
Новара                                    novara
Юность-2 Красноярск                       iunost-2 krasnoiarski
Этта                                      eta
Спортинг Эшпинью                          sporting eSpiniu
Кастело да Мая                            kastelo da maia
Фоиникас                                  foinikasi
Чанкая Беледийе                           Cankaia beledie
Пост Швехат                               post Svehati
Хуррикаани                                hurikaani
Сампо                                     sampo
Униреа Деж                                unirea deJi
Динамо-Олимп                              dinamo-olimpi
Пиексямяки                                pieksiamiaki
ЛигаЕура                                  ligaeura
ПаКа                                      paka
Пислаплоки                                pislaploki
Ламиа                                     lamia
Дания                                     dania
Атырау ВК                                 atirau
ВаЛеПа                                    valepa
Пьянго                                    piango
Зираат Банкасы                            ziraat bankasi
РТУ                                       rtu
Марупес                                   marupesi
Хапоэль Варборг                           hapoel varborgi
Хапоэль Ирион Кириат                      hapoel irion kiriaTi
СДЮШОР-Экран                              sdiuSor-ekrani
Брянск                                    brianski
Луч Москва                                moskovis luCi
Волжанка-ЯГТУ Ярославль                   volJanka-iagtu iaroslavli
Политех Курская обл                       politex kurskis olqi
Смолянка Смоленск                         smolenskis smolianka
Тамбовчанка                               tambovCanka
Ярославна-ТМЗ                             iaroslavna-tmz
СДЮШОР-65-Ника М                          sdiuSor-65-nika m
Кампюс Кюлтюр Генчлик                     kampius kiultiur genCliki
ТЕД Колежлилер                            ted koleJlileri
Швеция                                    SvedeTi
Воронеж-2                                 voroneJi-2
Гази Университеси                         gazi universitesi
Диджле Университеси                       dijle universitesi
Торул Генчлик                             torul genCliki
Аполлон                                   apoloni
Каршияка                                  karSiaka
Чанаккале Беледийе                        Canakale beledie
Раквере Гросси                            rakvere grosi
Тарту Пере Лейб                           tartu pere leibi
Вильянди Металл                           viliandi metali
Лейшоеш                                   leiSoeSi
Кастело Мая                               kastelo maia
Хапоэль Кфар Саба                         hapoel kfar saba
Маккаби Тель-Авив                         makabi tel-avivi
Элицур Кармиль                            elicur karmili
Маккаби Ход Хашарон                       makabi hod haSaroni
Магнитка-Университет М                    magnitka-universiteti m
ОрПо                                      orpo
Кангасала                                 kangasala
Виести Сало                               viesti salo
ХПК                                       hpk
Хапоэль Кирьят                            hapoel kiriaTi
Допрастав                                 doprastavi
Тель-Авив                                 Tel-avivi
Раанана                                   raanana
Простежов                                 prosteJovi
Сокол Штернберк                           sokol Sternberki
Истанбулспор                              istanbulspori
Коч И.О. Окулу                            koC i.o. okulu
Орду Телеком                              ordu telekomi
Гуеифаеш                                  gueifaeSi
Спартак Интерком                          spartak interkomi
Игтисадчи Баку                            igtisadCi baqo
Азерйолсервис                             azeriolservisi
Тиребулу Спор                             tirebulu spori
Нант                                      nanti
Буртниеку новадс                          burtnieku novadsi
Алтекма                                   altekma
Бурхание Блд                              burxanie bld
Визура                                    vizura
Вайлдкэтс Клагенфурт                      uaildqeTs klagenfurti
Верт                                      verti
Азеррейл                                  azereili
Неве Шаанан                               neve Saanani
Астерикс                                  asteriqsi
Вашаш                                     vaSaSi
Локомотив Баку                            lokomotiv baqo
Дрезднер                                  drezdneri
Сплит 1700                                split 1700
Баки                                      baqo
Аполлон Лимассол                          apolon limasoli
Ирони Бат-Ям                              ironi bat-iami
Маккаби Осафия                            makabi osafia
Импексагроспорт Черкассы                  empeqsagrosport Cerkasi
Полиурс Озолниеки                         poliurs ozolnieki
Ниш Спартак Суботица                      niS spartak subotica
Варадин-БМГ                               varadin-bmg
Карайоллар                                karaiolari
Болу Беледье                              bolu beledie
АДА Спор                                  ada spori
Галати                                    galati
Дёрт Эйлюл Блд.                           diort eiliul bld.
Хапоэль Хамапил                           hapoel hamapili
Хапоэль Иерусалим                         hapoel ierusalimi
Мюлхаус                                   miulhausi
Таргу Муреш                               targu mureSi
